FirstName,LastName,X Handle,St/Dis,Party,Role,Past or current?,username
Catherine,Cortez Masto,SenCortezMasto,NV,D,Senate,Current,SenCortezMasto
Tom,Cotton,SenTomCotton,AR,R,Senate,Current,SenTomCotton
Kevin,Cramer,SenKevinCramer,ND,R,Senate,Current,SenKevinCramer
Mike,Crapo,MikeCrapo,ID,R,Senate,Current,MikeCrapo
Ted,Cruz,SenTedCruz,TX,R,Senate,Current,SenTedCruz
John R. ,Curtis,SenJohnCurtis,TX,R,Senate,Current,SenJohnCurtis
Steve,Daines,SteveDaines,MT,R,Senate,Current,SteveDaines
Tammy,Duckworth,SenDuckwort,IL,D,Senate,Current,SenDuckwort
Richard,Durbin,SenatorDurbin,IL,D,Senate,Current,SenatorDurbin
Joni,Ernst,SenJoniErnst,IA,R,Senate,Current,SenJoniErnst
John,Fetterman,SenFettermanPA,PA,D,Senate,Current,SenFettermanPA
Deb,Fischer,SenatorFischer,NE,R,Senate,Current,SenatorFischer
Ruben,Gallego,SenRubenGallego,AZ,D,Senate,Current,SenRubenGallego
Kirsten,Gillibrand,SenGillibrand,NY,D,Senate,Current,SenGillibrand
Lindsey,Graham,LindseyGrahamSC,SC,R,Senate,Current,LindseyGrahamSC
Chuck,Grassley,ChuckGrassley,IA,R,Senate,Current,ChuckGrassley
Bill,Hagerty,SenatorHagerty,TN,R,Senate,Current,SenatorHagerty
Maggie,Hassan,SenatorHassan,NH,D,Senate,Current,SenatorHassan
Josh,Hawley,HawleyMO,MO,R,Senate,Current,HawleyMO
Martin,Heinrich,MartinHeinrich ,NM,D,Senate,Current,MartinHeinrich 
John,Hickenlooper,SenatorHick,CO,D,Senate,Current,SenatorHick
Mazie,Hirono,maziehirono,HI,D,Senate,Current,maziehirono
John,Hoeven,SenJohnHoeven,ND,R,Senate,Current,SenJohnHoeven
Jon ,Husted,SenJonHusted,OH,R,Senate,Current,SenJonHusted
Cindy,Hyde-Smith,SenHydeSmith,MS,R,Senate,Current,SenHydeSmith
Ron,Johnson,SenRonJohnson,WI,R,Senate,Current,SenRonJohnson
James C.,Justice,JimJustice_WV,WV,R,Senate,Current,JimJustice_WV
Tim,Kaine,timkaine,VA,D,Senate,Current,timkaine
Mark,Kelly,SenMarkKelly,AZ,D,Senate,Current,SenMarkKelly
John,Kennedy,SenJohnKennedy,LA,R,Senate,Current,SenJohnKennedy
Andy,Kim,SenatorAndyKim,NJ,D,Senate,Current,SenatorAndyKim
Angus,King,SenAngusKing,ME,I,Senate,Current,SenAngusKing
Amy,Klobuchar,SenAmyKlobuchar,MN,D,Senate,Current,SenAmyKlobuchar
James,Lankford,SenatorLankford,OK,R,Senate,Current,SenatorLankford
Mike,Lee,SenMikeLee,UT,R,Senate,Current,SenMikeLee
Ben Ray,Luján,SenatorLujan,NM,D,Senate,Current,SenatorLujan
Cynthia,Lummis,SenLummis,WY,R,Senate,Current,SenLummis
Ed,Markey,SenMarkey,MA,D,Senate,Current,SenMarkey
Roger,Marshall,SenatorMarshall,KS,R,Senate,Current,SenatorMarshall
Mitch,McConnell,McConnellPress,KY,R,Senate,Current,McConnellPress
David,McCormick,SenMcCormickPA,PA,R,Senate,Current,SenMcCormickPA
Jedd,Merkley,SenJeffMerkley,OR,D,Senate,Current,SenJeffMerkley
Ashley,Moody,SenAshleyMoody,FL,R,Senate,Current,SenAshleyMoody
Jerry,Moran,JerryMoran,KS,R,Senate,Current,JerryMoran
Bernie,Moreno,berniemoreno,OH,R,Senate,Current,berniemoreno
Markwayne,Mullin,SenMullin,OK,R,Senate,Current,SenMullin
Lisa,Murkowski,lisamurkowski,AK,R,Senate,Current,lisamurkowski
Chris,Murphy,ChrisMurphyCT,CT,D,Senate,Current,ChrisMurphyCT
Patty,Murray,PattyMurray,WA,D,Senate,Current,PattyMurray
Jon,Ossoff,ossoff,GA,D,Senate,Current,ossoff
Alex,Padilla,SenAlexPadill,CA,D,Senate,Current,SenAlexPadill
Rand,Paul,RandPaul,KY,R,Senate,Current,RandPaul
Gary,Peters,SenGaryPeters,MI,D,Senate,Current,SenGaryPeters
Jack,Reed,SenJackReed,RI,D,Senate,Current,SenJackReed
Pete,Ricketts,SenatorRicketts,NE,R,Senate,Current,SenatorRicketts
Jim,Risch,SenatorRisch,ID,R,Senate,Current,SenatorRisch
Jacky,Rosen,SenJackyRosen,NV,D,Senate,Current,SenJackyRosen
Mike,Rounds,SenatorRounds,SD,R,Senate,Current,SenatorRounds
Bernie,Sanders,SenSanders,VT,I,Senate,Current,SenSanders
Brian,Schatz,SenBrianSchatz,HI,D,Senate,Current,SenBrianSchatz
Adam B.,Schiff,SenAdamSchiff,CA,D,Senate,Current,SenAdamSchiff
Eric,Schmitt,SenEricSchmitt,MO,R,Senate,Current,SenEricSchmitt
Chuck,Schumer,SenSchumer,NY,D,Senate,Current,SenSchumer
Rick,Scott,SenRickScott,FL,R,Senate,Current,SenRickScott
Tim,Scott,SenatorTimScott,SC,R,Senate,Current,SenatorTimScott
Jeanne,Shaheen,SenatorShaheen,NH,D,Senate,Current,SenatorShaheen
Tim,Sheehy,TimSheehyMT,MT,R,Senate,Current,TimSheehyMT
Elissa,Slotkin,SenatorSlotkin,MI,D,Senate,Current,SenatorSlotkin
Tina,Smith,SenTinaSmith,MN,D,Senate,Current,SenTinaSmith
Dan,Sullivan,SenDanSullivan,AK,R,Senate,Current,SenDanSullivan
John,Thune,LeaderJohnThune,SD,R,Senate,Current,LeaderJohnThune
Thom,Tillis,SenThomTillis,NC,R,Senate,Current,SenThomTillis
Tommy,Tuberville,SenTuberville,AL,R,Senate,Current,SenTuberville
Chris,Van Hollen,ChrisVanHollen,MD,D,Senate,Current,ChrisVanHollen
Mark,Warner,MarkWarner,VA,D,Senate,Current,MarkWarner
Raphael,Warnock,SenatorWarnock,GA,D,Senate,Current,SenatorWarnock
Elizabeth,Warren,SenWarren,MA,D,Senate,Current,SenWarren
Peter,Welch,SenPeterWelch,VT,D,Senate,Current,SenPeterWelch
Sheldon,Whitehouse,SenWhitehouse,RI,D,Senate,Current,SenWhitehouse
Roger,Wicker,SenatorWicker,MS,R,Senate,Current,SenatorWicker
Ron,Wyden,RonWyden,OR,D,Senate,Current,RonWyden
Todd,Young,SenToddYoung,IN,R,Senate,Current,SenToddYoung
Donald,Trump,realDonaldTrump,,R,President of the United States,Current,realDonaldTrump
JD ,Vance,JDVance,,R,Vice President of the United States,Current,JDVance
Karoline,Leavitt,PressSec,,R,White House Press Secretary,Current,PressSec
Robrt F.,Kennedy Jr.,RobertKennedyJr,,I,Secretary of Health and Human Services,Current,RobertKennedyJr
Scott,Bessent,SecScottBessent,,R,Secretary of Treasury,Current,SecScottBessent
Marco,Rubio,SecRubio,,R,Secretary of State,Current,SecRubio
Linda,McMahon,Linda_McMahon,,R,Secretary of Education,Current,Linda_McMahon
Kristi,Noem,Sec_Noem,,R,Secretary of Homeland Security,Current,Sec_Noem
Sean,Duffy,SecDuffy,,R,Secretary of Transportation,Current,SecDuffy
Lori,Chavez-DeRemer,SecretaryLCD,,R,Secretary of Labor,Current,SecretaryLCD
