FirstName,LastName,X Handle,St/Dis,Party,Role,Past or current?
Pramila,Jayapal,RepJayapal,WA07,D,Representative,Current
Louie,Gohmert,replouiegohmert,,R,Representative,Past
Ann,Kirkpatrick,Ann_Kirkpatrick,,D,Representative,Past
Bill,Pascrell,BillPascrell,,D,Representative,Past
Norma,Torres,NormaJTorres,CA35,D,Representative,Current
Aumua Amata,Radewagen,RepAmata,AS00,R,Representative,Current
Kevin,Brady,RepKevinBrady,,R,Representative,Past
Raúl,Grijalva,RepRaulGrijalva,,D,Representative,Past
Pat,Fallon,RepPatFallon,TX04,R,Representative,Current
Jesús,García,RepChuyGarcia,IL04,D,Representative,Current
Zachary,Nunn,ZachNunn,IA03,R,Representative,Current
Yassamin,Ansari,RepYassAnsari,AZ03,D,Representative,Current
Dean,Phillips,deanbphillips,,D,Representative,Past
Aaron,Bean,RepAaronBean,FL04,R,Representative,Current
Jahana,Hayes,RepJahanaHayes,CT05,D,Representative,Current
Beth,Van Duyne,RepBethVanDuyne,TX24,R,Representative,Current
Kathy,Castor,USRepKCastor,FL14,D,Representative,Current
Grace,Meng,RepGraceMeng,NY06,D,Representative,Current
Jaime,Beutler,HerreraBeutler,,R,Representative,Past
Ed,Perlmutter,RepPerlmutter,,D,Representative,Past
Jared,Moskowitz,RepMoskowitz,FL23,D,Representative,Current
Emily,Randall,RepEmilyRandall,WA06,D,Representative,Current
André,Carson,RepAndreCarson,IN07,D,Representative,Current
Marc,Veasey,RepVeasey,TX33,D,Representative,Current
Jack,Bergman,RepJackBergman,MI01,R,Representative,Current
Michael,Nicolas,GuamCongressman,,D,Representative,Past
Mikie,Sherrill,MikieSherrill,,D,Representative,Past
Angele,Alsobrooks,Sen_Alsobrooks,MD,D,Senate,Current
Tammy,Baldwin,SenatorBaldwin,WI,D,Senate,Current
Jim,Banks,SenatorBanks ,IN,R,Senate,Current
John,Barrasso,SenJohnBarrasso,WY,R,Senate,Current
Michael,Bennet,SenatorBennet,CO,D,Senate,Current
Marsha,Blackburn,MarshaBlackburn,TN,R,Senate,Current
Richard,Bumenthal,SenBlumenthal,CT,D,Senate,Current
Lisa,Blunt-Rochester,SenLBR,DE,D,Senate,Current
Cory,Booker,CoryBooker,NJ,D,Senate,Current
John,Boozman,JohnBoozman,AR,R,Senate,Current
Katie,Britt,SenKatieBritt,AL,R,Senate,Current
Ted,Budd,SenTedBuddNC,NC,R,Senate,Current
Maria,Cantwell,SenatorCantwell,WA,D,Senate,Current
Shelley Moore,Capito,SenCapito,WV,R,Senate,Current
Bill,Cassidy,SenBillCassidy,LA,R,Senate,Current
Susan,Collins,SenatorCollins,ME,R,Senate,Current
Chris,Coons,ChrisCoons,DE,D,Senate,Current
John,Cornyn,JohnCornyn,TX,R,Senate,Current
Catherine,Cortez Masto,SenCortezMasto,NV,D,Senate,Current
Tom,Cotton,SenTomCotton,AR,R,Senate,Current
Kevin,Cramer,SenKevinCramer,ND,R,Senate,Current
Mike,Crapo,MikeCrapo,ID,R,Senate,Current
Ted,Cruz,SenTedCruz,TX,R,Senate,Current
John R. ,Curtis,SenJohnCurtis,TX,R,Senate,Current
Steve,Daines,SteveDaines,MT,R,Senate,Current
Tammy,Duckworth,SenDuckwort,IL,D,Senate,Current
Richard,Durbin,SenatorDurbin,IL,D,Senate,Current
Joni,Ernst,SenJoniErnst,IA,R,Senate,Current
John,Fetterman,SenFettermanPA,PA,D,Senate,Current
Deb,Fischer,SenatorFischer,NE,R,Senate,Current
Ruben,Gallego,SenRubenGallego,AZ,D,Senate,Current
Kirsten,Gillibrand,SenGillibrand,NY,D,Senate,Current
Lindsey,Graham,LindseyGrahamSC,SC,R,Senate,Current
Chuck,Grassley,ChuckGrassley,IA,R,Senate,Current
Bill,Hagerty,SenatorHagerty,TN,R,Senate,Current
Maggie,Hassan,SenatorHassan,NH,D,Senate,Current
Josh,Hawley,HawleyMO,MO,R,Senate,Current
Martin,Heinrich,MartinHeinrich ,NM,D,Senate,Current
John,Hickenlooper,SenatorHick,CO,D,Senate,Current
Mazie,Hirono,maziehirono,HI,D,Senate,Current
John,Hoeven,SenJohnHoeven,ND,R,Senate,Current
Jon ,Husted,SenJonHusted,OH,R,Senate,Current
Cindy,Hyde-Smith,SenHydeSmith,MS,R,Senate,Current
Ron,Johnson,SenRonJohnson,WI,R,Senate,Current
James C.,Justice,JimJustice_WV,WV,R,Senate,Current
Tim,Kaine,timkaine,VA,D,Senate,Current
Mark,Kelly,SenMarkKelly,AZ,D,Senate,Current
John,Kennedy,SenJohnKennedy,LA,R,Senate,Current
Andy,Kim,SenatorAndyKim,NJ,D,Senate,Current
Angus,King,SenAngusKing,ME,I,Senate,Current
Amy,Klobuchar,SenAmyKlobuchar,MN,D,Senate,Current
James,Lankford,SenatorLankford,OK,R,Senate,Current
Mike,Lee,SenMikeLee,UT,R,Senate,Current
Ben Ray,Luján,SenatorLujan,NM,D,Senate,Current
Cynthia,Lummis,SenLummis,WY,R,Senate,Current
Ed,Markey,SenMarkey,MA,D,Senate,Current
Roger,Marshall,SenatorMarshall,KS,R,Senate,Current
Mitch,McConnell,McConnellPress,KY,R,Senate,Current
David,McCormick,SenMcCormickPA,PA,R,Senate,Current
Jedd,Merkley,SenJeffMerkley,OR,D,Senate,Current
Ashley,Moody,SenAshleyMoody,FL,R,Senate,Current
Jerry,Moran,JerryMoran,KS,R,Senate,Current
Bernie,Moreno,berniemoreno,OH,R,Senate,Current
Markwayne,Mullin,SenMullin,OK,R,Senate,Current
Lisa,Murkowski,lisamurkowski,AK,R,Senate,Current
Chris,Murphy,ChrisMurphyCT,CT,D,Senate,Current
Patty,Murray,PattyMurray,WA,D,Senate,Current
Jon,Ossoff,ossoff,GA,D,Senate,Current
Alex,Padilla,SenAlexPadill,CA,D,Senate,Current
Rand,Paul,RandPaul,KY,R,Senate,Current
Gary,Peters,SenGaryPeters,MI,D,Senate,Current
Jack,Reed,SenJackReed,RI,D,Senate,Current
Pete,Ricketts,SenatorRicketts,NE,R,Senate,Current
Jim,Risch,SenatorRisch,ID,R,Senate,Current
Jacky,Rosen,SenJackyRosen,NV,D,Senate,Current
Mike,Rounds,SenatorRounds,SD,R,Senate,Current
Bernie,Sanders,SenSanders,VT,I,Senate,Current
Brian,Schatz,SenBrianSchatz,HI,D,Senate,Current
Adam B.,Schiff,SenAdamSchiff,CA,D,Senate,Current
Eric,Schmitt,SenEricSchmitt,MO,R,Senate,Current
Chuck,Schumer,SenSchumer,NY,D,Senate,Current
Rick,Scott,SenRickScott,FL,R,Senate,Current
Tim,Scott,SenatorTimScott,SC,R,Senate,Current
Jeanne,Shaheen,SenatorShaheen,NH,D,Senate,Current
Tim,Sheehy,TimSheehyMT,MT,R,Senate,Current
Elissa,Slotkin,SenatorSlotkin,MI,D,Senate,Current
Tina,Smith,SenTinaSmith,MN,D,Senate,Current
Dan,Sullivan,SenDanSullivan,AK,R,Senate,Current
John,Thune,LeaderJohnThune,SD,R,Senate,Current
Thom,Tillis,SenThomTillis,NC,R,Senate,Current
Tommy,Tuberville,SenTuberville,AL,R,Senate,Current
Chris,Van Hollen,ChrisVanHollen,MD,D,Senate,Current
Mark,Warner,MarkWarner,VA,D,Senate,Current
Raphael,Warnock,SenatorWarnock,GA,D,Senate,Current
Elizabeth,Warren,SenWarren,MA,D,Senate,Current
Peter,Welch,SenPeterWelch,VT,D,Senate,Current
Sheldon,Whitehouse,SenWhitehouse,RI,D,Senate,Current
Roger,Wicker,SenatorWicker,MS,R,Senate,Current
Ron,Wyden,RonWyden,OR,D,Senate,Current
Todd,Young,SenToddYoung,IN,R,Senate,Current
Donald,Trump,realDonaldTrump,,R,President of the United States,Current
JD ,Vance,JDVance,,R,Vice President of the United States,Current
Karoline,Leavitt,PressSec,,R,White House Press Secretary,Current
Robrt F.,Kennedy Jr.,RobertKennedyJr,,I,Secretary of Health and Human Services,Current
Scott,Bessent,SecScottBessent,,R,Secretary of Treasury,Current
Marco,Rubio,SecRubio,,R,Secretary of State,Current
Linda,McMahon,Linda_McMahon,,R,Secretary of Education,Current
Kristi,Noem,Sec_Noem,,R,Secretary of Homeland Security,Current
Sean,Duffy,SecDuffy,,R,Secretary of Transportation,Current
Lori,Chavez-DeRemer,SecretaryLCD,,R,Secretary of Labor,Current
Pam ,Bondi,AGPamBondi,,R,Attorney General ,Current
Doug,Burgum,SecretaryBurgum,,R,Secretary of the Interior,Current
Doug,Collins,SecVetAffairs,,R,Secretary of Veterans Affairs,Current
Tulsi ,Gabbard,TulsiGabbard,,R,Director of National Intelligence,Current
Jamieson,Greer,jamiesongreer,,R,United States Trade Representative,Current
Pete ,Hegseth,SecWar,,R,Secretary of War,Current
